epoch,timestamp,train_loss,val_loss,val_accuracy,val_macro_f1
0,1782288942.8470826,2.996957058927398,2.647407683804801,0.23917995444191345,0.1281669991763594
1,1782288959.893772,2.269689520740463,2.1944334034496125,0.2870159453302961,0.15731621671471296
2,1782288975.6148565,1.8720768749742847,1.9627902961266068,0.33712984054669703,0.2060373734972773
3,1782288992.1093125,1.5547366299751952,1.8364774465289366,0.37585421412300685,0.25106961889104595
4,1782289008.8981895,1.3849207474920227,1.6043392804054573,0.42369020501138954,0.27458113441539517
5,1782289025.1273556,1.2710229440647864,1.566829818256352,0.42596810933940776,0.31254799632636954
6,1782289041.8955753,1.1770441961728466,1.4584066324733655,0.44646924829157175,0.33128842066330666
7,1782289058.5582414,1.16964394068359,1.4144715408800945,0.4624145785876993,0.3429112968055638
8,1782289074.8274677,1.0868432705642066,1.3717897510610029,0.4806378132118451,0.3659744916809608
9,1782289090.766554,1.0159944141009527,1.3068953969755586,0.48519362186788156,0.36216950911212387
10,1782289119.251999,0.9099247496703575,0.9235508157818627,0.6469248291571754,0.5594571498882277
11,1782289140.3051555,0.4371012602256536,0.6885997539636486,0.7038724373576309,0.5342064845174544
12,1782289160.2531836,0.24971966143659505,0.6122470987888566,0.7585421412300684,0.6400911331466888
13,1782289180.2776082,0.13714271230915323,0.5370311987223549,0.8018223234624146,0.6659941453013928
14,1782289201.53144,0.11132356274426128,0.4826362524733185,0.8177676537585421,0.6469326570208951
15,1782289222.2899117,0.03522961319665297,0.5491447356404368,0.8177676537585421,0.6716283394250934
16,1782289242.2297308,0.028467104394366987,0.48204163820026674,0.8405466970387244,0.6826747088788687
17,1782289262.3075147,0.017111970476295948,0.504008747399668,0.8451025056947609,0.6829525045535347
18,1782289283.637793,0.01088930001448896,0.5359566881743542,0.8473804100227791,0.6893415925285892
19,1782289309.161117,0.009731356826170531,0.516199537996279,0.8451025056947609,0.6843508250874081
20,1782289329.3310883,0.015617771706063953,0.5166827350651213,0.8587699316628702,0.6899590598845555
21,1782289350.0813324,0.012227775208898985,0.5082393152838688,0.8610478359908884,0.6897342622078452
22,1782289370.1158082,0.004275313044358597,0.50978725748073,0.8633257403189066,0.6926298947866649
23,1782289390.2697866,0.005872438772798178,0.5044014707784717,0.8496583143507973,0.6905976200649113
24,1782289411.6604106,0.007936773585036194,0.5102920990462727,0.8451025056947609,0.6482241012658857
25,1782289433.4273615,0.007035061586991988,0.4489799431760653,0.8701594533029613,0.6989652200559401
26,1782289454.1046214,0.006854896421551944,0.4146915025890281,0.8724373576309795,0.7023224349690673
27,1782289477.8129244,0.003278599687091619,0.4459632628327893,0.8701594533029613,0.6969675881175189
28,1782289499.8555007,0.004229406081308247,0.5429985389486803,0.8542141230068337,0.6894444204254153
29,1782289525.2569308,0.004450193562216047,0.5372977271031139,0.856492027334852,0.6650146155016231
30,1782289549.0837715,0.0022984019971919447,0.46875583100427526,0.8838268792710706,0.7046986174897302
31,1782289572.442622,0.0030251938943317382,0.47133174640442627,0.8610478359908884,0.6902904987795596
32,1782289596.001966,0.0023161601849083957,0.4791565647089943,0.8610478359908884,0.6899188840585104
33,1782289627.5701709,0.0016506707979397394,0.46158993162706935,0.876993166287016,0.6980844689388818
34,1782289649.747453,0.0009606625264629359,0.49233202626058886,0.8701594533029613,0.6945459035712153
35,1782289670.0589328,0.001887229395139919,0.4357458736942678,0.876993166287016,0.7012092728532148
36,1782289692.3212218,0.0011303183040185865,0.4374095348467316,0.8678815489749431,0.6948093021941829
37,1782289715.2336183,0.0026565735554198214,0.4324487372384256,0.8883826879271071,0.7095929607650839
38,1782289735.33889,0.002953513370747798,0.4732594771781652,0.8838268792710706,0.7035357892010128
39,1782289796.8962774,0.0017515810918876645,0.4484836711698893,0.8838268792710706,0.7067766379795243
40,1782289831.5729122,0.002506920032619556,0.39399934459927416,0.8861047835990888,0.7078915131929872
41,1782289855.2378623,0.001188379841016591,0.4561315003044241,0.8792710706150342,0.7040866319390418
42,1782289876.2997317,0.003097852807405625,0.44589740282310714,0.8838268792710706,0.7062665031301258
43,1782289899.3811624,0.004643165398694882,0.482960064345992,0.8883826879271071,0.70927196473304
44,1782289920.8922248,0.003200402428853905,0.5156466192427963,0.8701594533029613,0.6996862954934513
45,1782289945.8882978,0.004462364486537342,0.502121589789358,0.8678815489749431,0.6936350187791184
