epoch,timestamp,train_loss,val_loss,val_accuracy,val_macro_f1,val_mae,val_qwk
0,1782290354.383913,1.3958425048653407,1.0206166965919627,0.3157894736842105,0.21541319241071133,0.8947368421052632,0.1149068322981367
1,1782290362.4137208,1.096637304502589,0.9007813407663714,0.37719298245614036,0.2569554739046264,0.7543859649122807,0.18279569892473135
2,1782290369.7138062,0.9531112326920488,0.8345638701790258,0.40350877192982454,0.26403286978508217,0.7280701754385965,0.19964601769911494
3,1782290377.0477917,0.8549782852180131,0.824917287157293,0.41228070175438597,0.2896351628262425,0.7192982456140351,0.17024426350851207
4,1782290384.6492548,0.8372497376594835,0.8041245247188368,0.4298245614035088,0.30363957030623695,0.6929824561403509,0.19376642883965445
5,1782290392.2534645,0.7893839109944933,0.7739428072644953,0.42105263157894735,0.30063396730063396,0.6842105263157895,0.22272727272727266
6,1782290399.7531705,0.761739295402556,0.7576363588634291,0.41228070175438597,0.2930501930501931,0.7017543859649122,0.1963746223564954
7,1782290407.2651556,0.7893085820984295,0.7388958638174492,0.43859649122807015,0.2984848484848485,0.6842105263157895,0.21879588839941266
8,1782290414.7083874,0.7392009087191284,0.721477981199298,0.41228070175438597,0.29035087719298247,0.7017543859649122,0.2170713760117735
9,1782290422.162697,0.725157196853907,0.7170950132503844,0.4298245614035088,0.30606485800064276,0.6842105263157895,0.25357142857142867
10,1782290437.1367426,0.6446920394442464,0.5584662169740912,0.45614035087719296,0.36949561514434937,0.5877192982456141,0.46896551724137914
11,1782290445.7693632,0.3414500700380966,0.47784105413838435,0.543859649122807,0.43846153846153846,0.4824561403508772,0.6056481796529432
12,1782290454.16799,0.19358511496591205,0.4273521492355748,0.5877192982456141,0.49507389162561577,0.4298245614035088,0.6422735346358792
13,1782290462.743718,0.09183400118623981,0.3914937408346879,0.6052631578947368,0.5460531171488208,0.41228070175438597,0.6613072352324363
14,1782290471.440701,0.06904548235976969,0.3871954940913016,0.6403508771929824,0.6168565629772527,0.37719298245614036,0.691962745774405
15,1782290480.0190723,0.0436192142371913,0.3795630461291263,0.6052631578947368,0.5734036943530088,0.40350877192982454,0.692722371967655
16,1782290489.2085063,0.027028182535681105,0.37369531811329354,0.6052631578947368,0.5707160725453408,0.40350877192982454,0.6935483870967742
17,1782290497.944337,0.019464696970775384,0.38572275743149875,0.631578947368421,0.5828151778402519,0.37719298245614036,0.7058823529411764
18,1782290506.735552,0.015835314249719373,0.37334927759672465,0.6228070175438597,0.6048848844025794,0.38596491228070173,0.7151238591916558
19,1782290515.2604306,0.015508224480280667,0.38791633175130474,0.6228070175438597,0.5927434202451299,0.38596491228070173,0.7055256064690026
20,1782290523.611806,0.014278717893566793,0.39299848937151727,0.6228070175438597,0.5779893581364169,0.38596491228070173,0.703929539295393
21,1782290532.3656878,0.00800442346193977,0.3808752423838565,0.6491228070175439,0.6013319134993448,0.35964912280701755,0.72757585861954
22,1782290542.641828,0.005356489359010153,0.3746941183742724,0.6666666666666666,0.6054377038890313,0.34210526315789475,0.7226771092915628
23,1782290551.755334,0.006937979414831591,0.36437825048178957,0.6491228070175439,0.5931044002718315,0.35964912280701755,0.7160236357316649
24,1782290560.323399,0.00485117519487634,0.3674571754639609,0.6578947368421053,0.6373356674561494,0.3508771929824561,0.7345309381237526
25,1782290568.8335147,0.004423207333240345,0.3801316859429343,0.6228070175438597,0.5812106918238993,0.38596491228070173,0.703326544467074
26,1782290578.3140721,0.0038772188340320843,0.3951849916525054,0.631578947368421,0.6140706356223598,0.37719298245614036,0.712798118911656
27,1782290586.7610073,0.002278009763712646,0.4088304492465237,0.6140350877192983,0.5501846050570598,0.39473684210526316,0.6878713736455785
28,1782290595.301789,0.0035947861491155077,0.3983716400046098,0.6578947368421053,0.6341016706870366,0.3508771929824561,0.7352355673523557
29,1782290603.978574,0.002158572163276431,0.38842360074060006,0.6491228070175439,0.6366129072618988,0.35964912280701755,0.7283006318589957
30,1782290612.6921985,0.0021074861607990646,0.39251566142366645,0.6403508771929824,0.6025943396226414,0.3684210526315789,0.7162253903598099
31,1782290621.3360448,0.0015333807877911867,0.38380044803284763,0.6228070175438597,0.5731227106227106,0.38596491228070173,0.7115511551155116
