epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.23147,1.97464,1.62942,1.34713,0.37486,0.40524,0.32362,0.11153,2.35196,1.85273,1.70952,0.0022,0.0022,0.0802
2,16.3659,2.05632,1.6961,1.37108,0.37102,0.21397,0.19649,0.06592,2.53767,3.30949,1.61109,0.0044109,0.0044109,0.0594109
3,24.5762,2.05164,1.73289,1.3798,0.43675,0.3869,0.3544,0.11964,2.40539,1.99717,1.77836,0.00653072,0.00653072,0.0385307
4,32.3872,2.12613,1.71442,1.40539,0.22139,0.22795,0.14349,0.04694,2.57809,2.39621,1.85289,0.00855946,0.00855946,0.0175595
5,40.1447,2.09422,1.77296,1.43445,0.31039,0.31092,0.25172,0.09035,2.38799,2.04482,1.69851,0.009208,0.009208,0.009208
6,47.4943,2.05017,1.71969,1.39888,0.3304,0.24279,0.20023,0.06988,2.48892,2.4092,1.87972,0.00901,0.00901,0.00901
7,55.1839,2.03617,1.66591,1.36822,0.337,0.33383,0.27604,0.10693,2.33287,2.07094,1.75238,0.008812,0.008812,0.008812
8,62.7442,2.04997,1.7389,1.39991,0.40607,0.44105,0.39425,0.14382,2.25725,1.74068,1.53881,0.008614,0.008614,0.008614
9,70.3266,2.01238,1.67322,1.36312,0.31883,0.31762,0.26509,0.09086,2.30668,2.37387,1.53093,0.008416,0.008416,0.008416
10,78.1893,2.02453,1.63041,1.35769,0.17799,0.08384,0.05359,0.01425,2.94927,4.06975,1.95867,0.008218,0.008218,0.008218
11,86.3387,2.02187,1.62528,1.33393,0.28019,0.2559,0.17743,0.06169,2.39411,2.48217,1.65461,0.00802,0.00802,0.00802
12,93.9127,1.99493,1.67912,1.36368,0.36865,0.40873,0.31686,0.12083,2.10419,2.10789,1.4452,0.007822,0.007822,0.007822
13,101.594,1.98705,1.64238,1.34693,0.39657,0.42795,0.37354,0.14279,2.179,1.87879,1.51805,0.007624,0.007624,0.007624
14,109.091,1.99787,1.62443,1.35219,0.50261,0.48122,0.49907,0.22046,1.93881,1.61517,1.4022,0.007426,0.007426,0.007426
15,116.885,2.01092,1.60475,1.34897,0.42928,0.43144,0.37109,0.14633,2.02645,1.84774,1.40272,0.007228,0.007228,0.007228
16,124.555,1.98365,1.62201,1.35291,0.46052,0.47162,0.43962,0.17856,2.09474,1.71989,1.45733,0.00703,0.00703,0.00703
17,132.616,1.96535,1.55938,1.33328,0.43942,0.4821,0.43321,0.15396,2.09224,1.69518,1.46101,0.006832,0.006832,0.006832
18,140.428,1.96475,1.58453,1.36467,0.47633,0.44454,0.44322,0.17708,2.09655,1.72789,1.50301,0.006634,0.006634,0.006634
19,147.69,1.97708,1.5928,1.348,0.44844,0.46376,0.44041,0.17106,2.11847,1.68164,1.52238,0.006436,0.006436,0.006436
20,154.618,1.97257,1.58673,1.3247,0.33679,0.34847,0.27555,0.08513,2.34086,2.00193,1.55683,0.006238,0.006238,0.006238
21,161.649,1.95454,1.56927,1.32237,0.5302,0.49676,0.49574,0.20002,2.02638,1.66136,1.40788,0.00604,0.00604,0.00604
22,168.809,1.93905,1.5684,1.3105,0.53719,0.56157,0.53127,0.21602,1.92795,1.65244,1.33568,0.005842,0.005842,0.005842
23,175.809,1.97084,1.54277,1.33388,0.54884,0.52664,0.53476,0.22874,1.96257,1.61097,1.38006,0.005644,0.005644,0.005644
24,182.733,1.93525,1.54729,1.30529,0.49032,0.54847,0.5177,0.21107,1.90463,1.69035,1.34321,0.005446,0.005446,0.005446
25,189.67,1.92267,1.57561,1.32042,0.54172,0.53624,0.53697,0.22292,1.88855,1.73451,1.32921,0.005248,0.005248,0.005248
26,196.533,1.91257,1.51631,1.32092,0.59366,0.55284,0.57693,0.24955,1.86987,1.51133,1.3394,0.00505,0.00505,0.00505
