image,box,area,risk_reason
kurnaz_000370.jpg,"[353.49984, 175.25024000000002, 446.50016, 307.75008]",12322.527519948799,suspiciously large box
kurnaz_000370.jpg,"[533.24992, 355.24992, 639.74976, 513.74976]",16880.207600025617,suspiciously large box
kurnaz_000404.jpg,"[267.7504, 237.49952000000002, 406.25023999999996, 400.49984]",22575.51823994879,suspiciously large box
kurnaz_000405.jpg,"[209.99967999999998, 556.49984, 399.99967999999996, 631.50016]",14250.060800000017,suspiciously large box
kurnaz_000405.jpg,"[252.50016000000002, 219.0, 422.50016000000005, 337.0]",20060.000000000004,suspiciously large box
kurnaz_000405.jpg,"[155.50016, 344.99968, 291.50016, 424.0]",10744.04352,suspiciously large box
kurnaz_000405.jpg,"[16.999999999999993, 19.000320000000002, 203.0, 115.00032000000002]",17856.000000000004,suspiciously large box
kurnaz_000405.jpg,"[29.999999999999993, 348.00032, 146.99967999999998, 466.00032]",13805.962239999999,suspiciously large box
kurnaz_000407.jpg,"[309.49984, 249.00000000000003, 459.49984, 363.00000000000006]",17100.000000000004,suspiciously large box
kurnaz_000411.jpg,"[240.49984, 120.49984, 348.49984, 248.49984]",13824.0,suspiciously large box
kurnaz_000411.jpg,"[537.0, 205.0, 631.0, 314.00032000000004]",10246.030080000004,suspiciously large box
kurnaz_000411.jpg,"[411.00032, 463.0, 523.00032, 605.0]",15904.0,suspiciously large box
kurnaz_000411.jpg,"[134.50048000000004, 525.99968, 231.50016, 639.99968]",11057.963519999996,suspiciously large box
kurnaz_000411.jpg,"[267.99968, 252.99999999999997, 365.99967999999996, 375.0]",11955.999999999996,suspiciously large box
kurnaz_000411.jpg,"[109.49984, 195.0, 259.49984, 413.99968]",32849.952000000005,suspiciously large box
kurnaz_000435.jpg,"[567.5001599999999, 141.50047999999998, 639.5001599999999, 320.50016]",12887.97696,suspiciously large box
