epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.73932,2.43588,2.65619,1.6232,0.02231,0.4559,0.02732,0.00761,2.91089,2.98392,3.11182,0.0022,0.0022,0.0802
2,17.4958,2.27007,2.02839,1.53045,0.00051,0.01048,0.00032,0.0001,nan,nan,nan,0.0043218,0.0043218,0.0593218
3,25.2266,2.2731,1.92699,1.52733,0.00026,0.00524,0.00013,4e-05,4.68858,inf,60.3407,0.00626144,0.00626144,0.0382614
4,32.9442,2.23744,1.84352,1.46034,0.00038,0.00786,0.00029,5e-05,4.26106,inf,15.9017,0.00801892,0.00801892,0.0170189
5,40.4,2.18035,1.84429,1.47332,0.07587,0.17555,0.03789,0.01052,2.92414,10.3083,2.44635,0.008416,0.008416,0.008416
6,48.065,2.18373,1.83574,1.46251,0.24257,0.33886,0.18905,0.05656,2.31149,4.88318,1.63709,0.00802,0.00802,0.00802
7,55.7157,2.18878,1.74895,1.44572,0.34595,0.36157,0.30294,0.09219,2.41072,2.16271,1.60665,0.007624,0.007624,0.007624
8,63.3735,2.14838,1.82311,1.45195,0.39137,0.41747,0.35307,0.12109,2.22588,2.2032,1.53604,0.007228,0.007228,0.007228
9,70.7857,2.09799,1.78227,1.40395,0.35661,0.40517,0.29441,0.106,2.11737,2.1126,1.45601,0.006832,0.006832,0.006832
10,78.0933,2.0889,1.7276,1.39945,0.42784,0.42882,0.37333,0.14098,2.20101,1.8189,1.57344,0.006436,0.006436,0.006436
11,85.7041,2.09896,1.71178,1.38973,0.26973,0.28646,0.20113,0.07614,2.37409,2.23217,1.75143,0.00604,0.00604,0.00604
12,93.1582,2.05782,1.75253,1.41292,0.31514,0.35197,0.24922,0.07091,2.43722,2.07418,1.57096,0.005644,0.005644,0.005644
13,100.632,2.02535,1.71856,1.37256,0.41968,0.35633,0.32851,0.12135,2.16146,2.14846,1.51566,0.005248,0.005248,0.005248
14,108.936,2.02932,1.67854,1.37324,0.40805,0.42445,0.35666,0.12835,2.16955,1.8311,1.51449,0.004852,0.004852,0.004852
15,116.776,2.02577,1.67567,1.35775,0.38865,0.43695,0.36123,0.12838,2.1376,1.78593,1.46544,0.004456,0.004456,0.004456
16,123.746,1.96001,1.76317,1.43033,0.42143,0.42795,0.39318,0.15286,2.02239,1.81972,1.35478,0.00406,0.00406,0.00406
17,130.526,1.95272,1.71098,1.41204,0.44087,0.4855,0.43188,0.16356,2.08868,1.80854,1.43248,0.003664,0.003664,0.003664
18,137.344,1.98916,1.66982,1.41368,0.46375,0.53624,0.488,0.18272,1.98782,1.76175,1.36649,0.003268,0.003268,0.003268
19,144.004,1.92976,1.65013,1.38706,0.43035,0.47241,0.41033,0.15363,1.96459,1.74271,1.3438,0.002872,0.002872,0.002872
20,150.818,1.90859,1.60742,1.36213,0.57446,0.5214,0.5561,0.23874,1.92003,1.5947,1.38032,0.002476,0.002476,0.002476
21,157.62,1.92077,1.59404,1.37988,0.52452,0.52926,0.51913,0.21046,1.89392,1.61267,1.33685,0.00208,0.00208,0.00208
22,164.271,1.94783,1.60764,1.38512,0.52043,0.52222,0.52533,0.22911,1.84756,1.59772,1.3348,0.001684,0.001684,0.001684
23,170.966,1.88124,1.61425,1.34783,0.55102,0.53974,0.55367,0.23897,1.80956,1.57082,1.28786,0.001288,0.001288,0.001288
24,177.628,1.87163,1.55806,1.34637,0.5533,0.53974,0.56006,0.25402,1.83607,1.55614,1.33169,0.000892,0.000892,0.000892
25,184.328,1.87449,1.54286,1.36231,0.56015,0.54833,0.56587,0.25615,1.8197,1.55707,1.32179,0.000496,0.000496,0.000496
